R,G,B,R,G,B
169,169,169,255,240,245
0,0,0,255,255,0
0,0,0,255,215,0
0,0,0,255,165,0
0,0,0,255,140,0
0,0,0,105,105,105
0,0,0,128,128,128
0,0,0,169,169,169
0,0,0,192,192,192
0,0,0,211,211,211
0,0,0,220,220,220
0,0,0,245,245,245
0,0,0,255,255,255
0,0,0,255,250,250
0,0,0,248,248,255
0,0,0,65,105,225
0,0,0,30,144,255
0,0,0,100,149,237
0,0,0,0,191,255
0,0,0,135,206,250
0,0,0,135,206,235
0,0,0,173,216,230
0,0,0,176,224,230
0,0,0,175,238,238
255,255,255,85,107,47
255,255,255,107,142,35
255,255,255,128,128,0
255,255,255,0,100,0
255,255,255,0,128,0
255,255,255,34,139,34
255,255,255,189,183,107
255,255,255,0,0,0
255,255,255,105,105,105
255,255,255,139,0,139
255,255,255,128,0,128
255,255,255,75,0,130
255,255,255,72,61,139
255,255,255,138,43,226
255,255,255,147,112,219
255,255,255,106,90,205
60,179,113,65,105,225
60,179,113,25,25,112
60,179,113,0,0,128
60,179,113,0,0,139
60,179,113,0,0,205
60,179,113,0,0,255
60,179,113,30,144,255
60,179,113,100,149,237
102,205,170,65,105,225
102,205,170,25,25,112
102,205,170,0,0,128
102,205,170,0,0,139
102,205,170,0,0,205
102,205,170,0,0,255
102,205,170,30,144,255
102,205,170,100,149,237
0,100,0,65,105,225
0,100,0,25,25,112
0,100,0,0,0,128
0,100,0,0,0,139
0,100,0,0,0,205
0,100,0,0,0,255
0,100,0,30,144,255
0,100,0,100,149,237
0,128,0,65,105,225
0,128,0,25,25,112
0,128,0,0,0,128
0,128,0,0,0,139
0,128,0,0,0,205
0,128,0,0,0,255
0,128,0,30,144,255
0,128,0,100,149,237
154,205,50,65,105,225
154,205,50,25,25,112
154,205,50,0,0,128
154,205,50,0,0,139
154,205,50,0,0,205
154,205,50,0,0,255
154,205,50,30,144,255
154,205,50,100,149,237
85,107,47,65,105,225
85,107,47,25,25,112
85,107,47,0,0,128
85,107,47,0,0,139
85,107,47,0,0,205
85,107,47,0,0,255
85,107,47,30,144,255
85,107,47,100,149,237
107,142,35,65,105,225
107,142,35,25,25,112
107,142,35,0,0,128
107,142,35,0,0,139
107,142,35,0,0,205
107,142,35,0,0,255
107,142,35,30,144,255
107,142,35,100,149,237
128,128,0,65,105,225
128,128,0,25,25,112
128,128,0,0,0,128
128,128,0,0,0,139
128,128,0,0,0,205
128,128,0,0,0,255
128,128,0,30,144,255
128,128,0,100,149,237
60,179,113,0,0,0
60,179,113,105,105,105
102,205,170,0,0,0
102,205,170,105,105,105
0,100,0,0,0,0
0,100,0,105,105,105
0,128,0,0,0,0
0,128,0,105,105,105
154,205,50,0,0,0
154,205,50,105,105,105
85,107,47,0,0,0
85,107,47,105,105,105
107,142,35,0,0,0
107,142,35,105,105,105
128,128,0,0,0,0
128,128,0,105,105,105
60,179,113,205,133,63
60,179,113,184,134,11
60,179,113,160,82,45
60,179,113,139,69,19
60,179,113,128,0,0
60,179,113,128,0,0
102,205,170,205,133,63
102,205,170,184,134,11
102,205,170,160,82,45
102,205,170,139,69,19
102,205,170,128,0,0
102,205,170,128,0,0
0,100,0,205,133,63
0,100,0,184,134,11
0,100,0,160,82,45
0,100,0,139,69,19
0,100,0,128,0,0
0,100,0,128,0,0
0,128,0,205,133,63
0,128,0,184,134,11
0,128,0,160,82,45
0,128,0,139,69,19
0,128,0,128,0,0
0,128,0,128,0,0
154,205,50,205,133,63
154,205,50,184,134,11
154,205,50,160,82,45
154,205,50,139,69,19
154,205,50,128,0,0
154,205,50,128,0,0
85,107,47,205,133,63
85,107,47,184,134,11
85,107,47,160,82,45
85,107,47,139,69,19
85,107,47,128,0,0
85,107,47,128,0,0
107,142,35,205,133,63
107,142,35,184,134,11
107,142,35,160,82,45
107,142,35,139,69,19
107,142,35,128,0,0
107,142,35,128,0,0
128,128,0,205,133,63
128,128,0,184,134,11
128,128,0,160,82,45
128,128,0,139,69,19
128,128,0,128,0,0
128,128,0,128,0,0
65,105,225,60,179,113
65,105,225,102,205,170
65,105,225,0,100,0
65,105,225,0,128,0
65,105,225,154,205,50
65,105,225,85,107,47
65,105,225,107,142,35
65,105,225,128,128,0
25,25,112,60,179,113
25,25,112,102,205,170
25,25,112,0,100,0
25,25,112,0,128,0
25,25,112,154,205,50
25,25,112,85,107,47
25,25,112,107,142,35
25,25,112,128,128,0
0,0,128,60,179,113
0,0,128,102,205,170
0,0,128,0,100,0
0,0,128,0,128,0
0,0,128,154,205,50
0,0,128,85,107,47
0,0,128,107,142,35
0,0,128,128,128,0
0,0,139,60,179,113
0,0,139,102,205,170
0,0,139,0,100,0
0,0,139,0,128,0
0,0,139,154,205,50
0,0,139,85,107,47
0,0,139,107,142,35
0,0,139,128,128,0
0,0,205,60,179,113
0,0,205,102,205,170
0,0,205,0,100,0
0,0,205,0,128,0
0,0,205,154,205,50
0,0,205,85,107,47
0,0,205,107,142,35
0,0,205,128,128,0
0,0,255,60,179,113
0,0,255,102,205,170
0,0,255,0,100,0
0,0,255,0,128,0
0,0,255,154,205,50
0,0,255,85,107,47
0,0,255,107,142,35
0,0,255,128,128,0
30,144,255,60,179,113
30,144,255,102,205,170
30,144,255,0,100,0
30,144,255,0,128,0
30,144,255,154,205,50
30,144,255,85,107,47
30,144,255,107,142,35
30,144,255,128,128,0
100,149,237,60,179,113
100,149,237,102,205,170
100,149,237,0,100,0
100,149,237,0,128,0
100,149,237,154,205,50
100,149,237,85,107,47
100,149,237,107,142,35
100,149,237,128,128,0
65,105,225,0,0,0
65,105,225,105,105,105
25,25,112,0,0,0
25,25,112,105,105,105
0,0,128,0,0,0
0,0,128,105,105,105
0,0,139,0,0,0
0,0,139,105,105,105
0,0,205,0,0,0
0,0,205,105,105,105
0,0,255,0,0,0
0,0,255,105,105,105
30,144,255,0,0,0
30,144,255,105,105,105
100,149,237,0,0,0
100,149,237,105,105,105
65,105,225,255,255,255
65,105,225,245,245,245
25,25,112,255,255,255
25,25,112,245,245,245
0,0,128,255,255,255
0,0,128,245,245,245
0,0,139,255,255,255
0,0,139,245,245,245
0,0,205,255,255,255
0,0,205,245,245,245
0,0,255,255,255,255
0,0,255,245,245,245
30,144,255,255,255,255
30,144,255,245,245,245
100,149,237,255,255,255
100,149,237,245,245,245
65,105,225,255,255,0
65,105,225,255,215,0
65,105,225,255,165,0
65,105,225,255,140,0
25,25,112,255,255,0
25,25,112,255,215,0
25,25,112,255,165,0
25,25,112,255,140,0
0,0,128,255,255,0
0,0,128,255,215,0
0,0,128,255,165,0
0,0,128,255,140,0
0,0,139,255,255,0
0,0,139,255,215,0
0,0,139,255,165,0
0,0,139,255,140,0
0,0,205,255,255,0
0,0,205,255,215,0
0,0,205,255,165,0
0,0,205,255,140,0
0,0,255,255,255,0
0,0,255,255,215,0
0,0,255,255,165,0
0,0,255,255,140,0
30,144,255,255,255,0
30,144,255,255,215,0
30,144,255,255,165,0
30,144,255,255,140,0
100,149,237,255,255,0
100,149,237,255,215,0
100,149,237,255,165,0
100,149,237,255,140,0
255,255,0,169,169,169
255,255,0,105,105,105
255,255,0,192,192,192
255,215,0,169,169,169
255,215,0,105,105,105
255,215,0,192,192,192
255,165,0,169,169,169
255,165,0,105,105,105
255,165,0,192,192,192
255,140,0,169,169,169
255,140,0,105,105,105
255,140,0,192,192,192
255,255,0,0,0,0
255,255,0,105,105,105
255,215,0,0,0,0
255,215,0,105,105,105
255,165,0,0,0,0
255,165,0,105,105,105
255,140,0,0,0,0
255,140,0,105,105,105
255,255,0,60,179,113
255,255,0,102,205,170
255,255,0,0,100,0
255,255,0,0,128,0
255,255,0,154,205,50
255,255,0,85,107,47
255,255,0,107,142,35
255,255,0,128,128,0
255,215,0,60,179,113
255,215,0,102,205,170
255,215,0,0,100,0
255,215,0,0,128,0
255,215,0,154,205,50
255,215,0,85,107,47
255,215,0,107,142,35
255,215,0,128,128,0
255,165,0,60,179,113
255,165,0,102,205,170
255,165,0,0,100,0
255,165,0,0,128,0
255,165,0,154,205,50
255,165,0,85,107,47
255,165,0,107,142,35
255,165,0,128,128,0
255,140,0,60,179,113
255,140,0,102,205,170
255,140,0,0,100,0
255,140,0,0,128,0
255,140,0,154,205,50
255,140,0,85,107,47
255,140,0,107,142,35
255,140,0,128,128,0
255,255,0,205,133,63
255,255,0,184,134,11
255,255,0,160,82,45
255,255,0,139,69,19
255,255,0,128,0,0
255,255,0,128,0,0
255,215,0,205,133,63
255,215,0,184,134,11
255,215,0,160,82,45
255,215,0,139,69,19
255,215,0,128,0,0
255,215,0,128,0,0
255,165,0,205,133,63
255,165,0,184,134,11
255,165,0,160,82,45
255,165,0,139,69,19
255,165,0,128,0,0
255,165,0,128,0,0
255,140,0,205,133,63
255,140,0,184,134,11
255,140,0,160,82,45
255,140,0,139,69,19
255,140,0,128,0,0
255,140,0,128,0,0
255,255,255,255,69,0
255,255,255,255,0,0
255,255,255,220,20,60
245,245,245,255,69,0
245,245,245,255,0,0
245,245,245,220,20,60
255,255,0,65,105,225
255,255,0,25,25,112
255,255,0,0,0,128
255,255,0,0,0,139
255,255,0,0,0,205
255,255,0,0,0,255
255,255,0,30,144,255
255,255,0,100,149,237
255,215,0,65,105,225
255,215,0,25,25,112
255,215,0,0,0,128
255,215,0,0,0,139
255,215,0,0,0,205
255,215,0,0,0,255
255,215,0,30,144,255
255,215,0,100,149,237
255,165,0,65,105,225
255,165,0,25,25,112
255,165,0,0,0,128
255,165,0,0,0,139
255,165,0,0,0,205
255,165,0,0,0,255
255,165,0,30,144,255
255,165,0,100,149,237
255,140,0,65,105,225
255,140,0,25,25,112
255,140,0,0,0,128
255,140,0,0,0,139
255,140,0,0,0,205
255,140,0,0,0,255
255,140,0,30,144,255
255,140,0,100,149,237
65,105,225,205,133,63
65,105,225,184,134,11
65,105,225,160,82,45
65,105,225,139,69,19
65,105,225,128,0,0
65,105,225,128,0,0
25,25,112,205,133,63
25,25,112,184,134,11
25,25,112,160,82,45
25,25,112,139,69,19
25,25,112,128,0,0
25,25,112,128,0,0
0,0,128,205,133,63
0,0,128,184,134,11
0,0,128,160,82,45
0,0,128,139,69,19
0,0,128,128,0,0
0,0,128,128,0,0
0,0,139,205,133,63
0,0,139,184,134,11
0,0,139,160,82,45
0,0,139,139,69,19
0,0,139,128,0,0
0,0,139,128,0,0
0,0,205,205,133,63
0,0,205,184,134,11
0,0,205,160,82,45
0,0,205,139,69,19
0,0,205,128,0,0
0,0,205,128,0,0
0,0,255,205,133,63
0,0,255,184,134,11
0,0,255,160,82,45
0,0,255,139,69,19
0,0,255,128,0,0
0,0,255,128,0,0
30,144,255,205,133,63
30,144,255,184,134,11
30,144,255,160,82,45
30,144,255,139,69,19
30,144,255,128,0,0
30,144,255,128,0,0
100,149,237,205,133,63
100,149,237,184,134,11
100,149,237,160,82,45
100,149,237,139,69,19
100,149,237,128,0,0
100,149,237,128,0,0
139,0,139,255,255,0
139,0,139,255,215,0
139,0,139,255,165,0
139,0,139,255,140,0
128,0,128,255,255,0
128,0,128,255,215,0
128,0,128,255,165,0
128,0,128,255,140,0
75,0,130,255,255,0
75,0,130,255,215,0
75,0,130,255,165,0
75,0,130,255,140,0
72,61,139,255,255,0
72,61,139,255,215,0
72,61,139,255,165,0
72,61,139,255,140,0
138,43,226,255,255,0
138,43,226,255,215,0
138,43,226,255,165,0
138,43,226,255,140,0
147,112,219,255,255,0
147,112,219,255,215,0
147,112,219,255,165,0
147,112,219,255,140,0
106,90,205,255,255,0
106,90,205,255,215,0
106,90,205,255,165,0
106,90,205,255,140,0
65,105,225,25,25,112
65,105,225,0,0,128
65,105,225,0,0,139
65,105,225,0,0,205
65,105,225,0,0,255
65,105,225,30,144,255
65,105,225,100,149,237
25,25,112,65,105,225
25,25,112,0,0,128
25,25,112,0,0,139
25,25,112,0,0,205
25,25,112,0,0,255
25,25,112,30,144,255
25,25,112,100,149,237
0,0,128,65,105,225
0,0,128,25,25,112
0,0,128,0,0,139
0,0,128,0,0,205
0,0,128,0,0,255
0,0,128,30,144,255
0,0,128,100,149,237
0,0,139,65,105,225
0,0,139,25,25,112
0,0,139,0,0,128
0,0,139,0,0,139
0,0,139,0,0,205
0,0,139,0,0,255
0,0,139,30,144,255
0,0,139,100,149,237
0,0,205,65,105,225
0,0,205,25,25,112
0,0,205,0,0,128
0,0,205,0,0,139
0,0,205,0,0,255
0,0,205,30,144,255
0,0,205,100,149,237
0,0,255,65,105,225
0,0,255,25,25,112
0,0,255,0,0,128
0,0,255,0,0,139
0,0,255,0,0,205
0,0,255,30,144,255
0,0,255,100,149,237
30,144,255,65,105,225
30,144,255,25,25,112
30,144,255,0,0,128
30,144,255,0,0,139
30,144,255,0,0,205
30,144,255,0,0,255
30,144,255,100,149,237
100,149,237,65,105,225
100,149,237,25,25,112
100,149,237,0,0,128
100,149,237,0,0,139
100,149,237,0,0,205
100,149,237,0,0,255
100,149,237,30,144,255
0,0,0,205,133,63
0,0,0,184,134,11
0,0,0,160,82,45
0,0,0,139,69,19
0,0,0,128,0,0
0,0,0,128,0,0
105,105,105,205,133,63
105,105,105,184,134,11
105,105,105,160,82,45
105,105,105,139,69,19
105,105,105,128,0,0
105,105,105,128,0,0
60,179,113,169,169,169
60,179,113,105,105,105
60,179,113,192,192,192
102,205,170,169,169,169
102,205,170,105,105,105
102,205,170,192,192,192
0,100,0,169,169,169
0,100,0,105,105,105
0,100,0,192,192,192
0,128,0,169,169,169
0,128,0,105,105,105
0,128,0,192,192,192
154,205,50,169,169,169
154,205,50,105,105,105
154,205,50,192,192,192
85,107,47,169,169,169
85,107,47,105,105,105
85,107,47,192,192,192
107,142,35,169,169,169
107,142,35,105,105,105
107,142,35,192,192,192
128,128,0,169,169,169
128,128,0,105,105,105
128,128,0,192,192,192